Type,job_title,job_area,salary-bot,salary-top,year,education,company_title,company_info,skill,publis_name,welfare,job_url
C，C++语言工程师,linux c/c++研发工程师,苏州·相城区·元和,9000,14000,1-3,本科,中安工控,通信/网络设备A轮20-99人,Socket技术 软件工程师 Java Python c,李女士人力主管,通讯补贴，年终奖，股票期权，交通补助，餐补，节日福利，带薪年假，五险一金，零食下午茶,https://www.zhipin.com/job_detail/e75b68826f5603791nJz09u_EVdW.html
C，C++语言工程师,od 招聘 c/c++,苏州·昆山市·阳澄湖,17500,35000,经验不限,本科,华为,计算机软件不需要融资10000人以上,数据结构 分布式技术 软件工程师 架构师 c,李女士通用软件开发,加班补助，定期体检，餐补，股票期权，节日福利，年终奖，零食下午茶，员工旅游，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/21700495fc8e69a71nBy3d-0E1BQ.html
C，C++语言工程师,智能汽车 C/C++ 资深/专家工程师,北京·顺义区·后沙峪,37500,75000,5-10,本科,滴滴,移动互联网D轮及以上1000-9999人,嵌入式技术 分布式技术 架构师 网络协议栈 c,侯女士招聘者,定期体检，补充医疗保险，五险一金,https://www.zhipin.com/job_detail/286967d7b4cf5d401nx_2dy-F1ZQ.html
C，C++语言工程师,C＋＋开发,东莞·大朗镇·松山湖,16250,32500,1-3,本科,润和软件,移动互联网已上市10000人以上,Linux 驱动开发 游戏引擎 c++ c 软件工程师,刘先生HR,定期体检，年终奖，股票期权，带薪年假，节日福利，五险一金，通讯补贴，员工旅游，加班补助，交通补助，餐补，零食下午茶,https://www.zhipin.com/job_detail/c38caceb9b1e28841n150925EVVQ.html
C，C++语言工程师,研发工程师（python/golang/java/C/C++),上海,22500,43750,3-5,本科,斗象科技,信息安全D轮及以上500-999人,分布式技术 多线程 架构师 后端开发 Python,周女士HRBP,交通补助，股票期权，餐补，带薪年假，定期体检，员工旅游，节日福利，年终奖，加班补助，五险一金，零食下午茶,https://www.zhipin.com/job_detail/09ff204f6ffe1f7f1nx93t65F1NR.html
C，C++语言工程师,od招聘 c/c++,太原·小店区·学府街,17500,35000,经验不限,本科,华为,计算机软件不需要融资10000人以上,数据结构 分布式技术 软件工程师 架构师 c,李女士通用软件开发,股票期权，补充医疗保险，加班补助，零食下午茶，五险一金，定期体检，节日福利，年终奖，餐补，员工旅游,https://www.zhipin.com/job_detail/765996078d3dd57a1nBy3d-0EVZW.html
C，C++语言工程师,linux c /c++,北京·海淀区·上地,8000,13000,经验不限,学历不限,ACK,信息安全未融资20-99人,PHP Python 网络交换技术 网络协议 Linux,叶女士人事专员,五险一金，年终奖，通讯补贴，定期体检，带薪年假，员工旅游,https://www.zhipin.com/job_detail/e5c40007afa5c1961nxy2N-0F1pV.html
C，C++语言工程师,C++开发工程师,北京·丰台区·科技园区,10000,15000,经验不限,硕士,阳光凯讯,通信/网络设备未融资100-499人,网络协议 网络编程 军工 通信 C++ c,马女士招聘主管,定期体检，年终奖，五险一金，加班补助，带薪年假，补充医疗保险,https://www.zhipin.com/job_detail/c9d4fe5fea82935c1nN73dy_FlNV.html
C，C++语言工程师,C,北京·海淀区·西北旺,31250,62500,5-10,本科,太一星晨,通信/网络设备D轮及以上20-99人,嵌入式技术 Linux 网络安全 网络协议 网络编程,王先生开发经理,带薪年假，节日福利，年终奖，定期体检，员工旅游，补充医疗保险，餐补，五险一金，零食下午茶，免费班车,https://www.zhipin.com/job_detail/11bc6586c5f645353nN42Nu_E1c~.html
C，C++语言工程师,C,合肥·蜀山区·高新区,17500,23333,1-3,本科,新华三信息安全技...,在线教育不需要融资500-999人,Unix C语言 Linux C语言开发经验 嵌入式技术,温先生项目经理,补充医疗保险，零食下午茶，五险一金，餐补，年终奖，员工旅游，通讯补贴，节日福利，定期体检，免费班车，交通补助，带薪年假,https://www.zhipin.com/job_detail/5d6b4ddffe3a019a1XR-3t-1FFBV.html
C，C++语言工程师,C,北京,15000,25000,1-3,本科,浩瀚深度,通信/网络设备D轮及以上100-499人,Linux C语言,王先生采集软件架构师,餐补，五险一金，节日福利，补充医疗保险，通讯补贴，定期体检，年终奖，带薪年假，员工旅游，交通补助,https://www.zhipin.com/job_detail/3ba08c9a6fa850101nV70ty6ElFR.html
C，C++语言工程师,C,天津·西青区·侯台,12000,24000,经验不限,本科,人大金仓,计算机软件未融资100-499人,C语言 Linux,孙女士HRBP,定期体检，通讯补贴，餐补，补充医疗保险，带薪年假，五险一金，零食下午茶，节日福利，交通补助，年终奖,https://www.zhipin.com/job_detail/eed94702513688393nR43961GFc~.html
C，C++语言工程师,C,武汉·洪山区·光谷,11000,18000,1-3,本科,海康威视,计算机软件已上市10000人以上,嵌入式技术 Linux 软件工程师 C语言,韩女士嵌入式软件开发经理,通讯补贴，免息住房借款，补充医疗保险，带薪年假，五险一金，股票期权，交通补助，年终奖，餐补，定期体检,https://www.zhipin.com/job_detail/42c6de153d57b6cf1nx70ty9GVNS.html
C，C++语言工程师,C,北京·海淀区·上地,21250,39666,1-3,本科,天融信,信息安全已上市1000-9999人,C,晏先生项目经理,股票期权，交通补助，带薪年假，定期体检，通讯补贴，餐补，年终奖，节日福利，春节11天假，五险一金，带薪病假5天，补充医疗保险,https://www.zhipin.com/job_detail/d94c9575816642b31HZ50tu1EFc~.html
C，C++语言工程师,C,成都·武侯区·世豪广场,10000,15000,3-5,本科,卫士通,信息安全已上市1000-9999人,网络安全 网络协议 GCC Linux 后端开发 C++,朱先生产品经理,补充医疗保险，年终奖，节日福利，五险一金，定期体检，通讯补贴，高温假，股票期权，带薪年假，交通补助，餐补,https://www.zhipin.com/job_detail/2e500f3a6e9ea23333B629i4Flc~.html
C，C++语言工程师,C,郑州·金水区·北龙湖,8000,13000,1-3,本科,信大网御,计算机软件不需要融资100-499人,C++ C语言 网络协议 Socket技术 网络编程,李先生工程师,员工旅游，五险一金，定期体检，年终奖，带薪年假，节日福利，餐补,https://www.zhipin.com/job_detail/f46cdad69cdf15eb3n182dS4ElM~.html
